image,filter,psnr,ssim
01178.jpg,gamma,20.7041,0.4130
01179.jpg,lee,15.5926,0.2388
01179.jpg,frost,17.6819,0.3030
01179.jpg,gamma,21.1740,0.4138
01180.jpg,lee,16.2072,0.1798
01180.jpg,frost,18.3547,0.2482
01180.jpg,gamma,22.8041,0.4423
01181.jpg,lee,16.5956,0.3044
01181.jpg,frost,18.6078,0.3468
01181.jpg,gamma,21.5621,0.5064
01182.jpg,lee,16.6479,0.2447
01182.jpg,frost,18.7319,0.3114
01182.jpg,gamma,22.5131,0.4463
01183.jpg,lee,19.2005,0.2972
01183.jpg,frost,21.5759,0.3500
01183.jpg,gamma,26.0862,0.6108
01184.jpg,lee,14.0116,0.2425
01184.jpg,frost,15.7928,0.3062
01184.jpg,gamma,17.9702,0.4195
01185.jpg,lee,14.4944,0.1201
01185.jpg,frost,16.6356,0.1792
01185.jpg,gamma,20.4124,0.3738
01186.jpg,lee,14.9082,0.1138
01186.jpg,frost,17.3009,0.1786
01186.jpg,gamma,22.1937,0.3572
01187.jpg,lee,16.6051,0.2049
01187.jpg,frost,18.6756,0.2705
01187.jpg,gamma,22.6307,0.4641
01188.jpg,lee,15.2671,0.2391
01188.jpg,frost,17.1533,0.3060
01188.jpg,gamma,20.1154,0.4463
01189.jpg,lee,13.8514,0.1428
01189.jpg,frost,16.1048,0.2111
01189.jpg,gamma,19.3215,0.3190
01190.jpg,lee,14.1530,0.1391
01190.jpg,frost,16.3089,0.2057
01190.jpg,gamma,19.7638,0.3371
01191.jpg,lee,14.8382,0.0801
01191.jpg,frost,16.9464,0.1220
01191.jpg,gamma,22.8011,0.3418
01192.jpg,lee,14.4719,0.1442
01192.jpg,frost,16.3873,0.1983
01192.jpg,gamma,20.6442,0.3796
01193.jpg,lee,13.9513,0.1694
01193.jpg,frost,15.7714,0.2289
01193.jpg,gamma,19.2089,0.4024
01194.jpg,lee,14.8497,0.2455
01194.jpg,frost,16.6354,0.3007
01194.jpg,gamma,20.0909,0.3352
01195.jpg,lee,14.8105,0.1682
01195.jpg,frost,16.6337,0.2270
01195.jpg,gamma,20.6152,0.3826
01196.jpg,lee,17.0438,0.2643
01196.jpg,frost,19.0506,0.2971
01196.jpg,gamma,24.4551,0.5373
01197.jpg,lee,15.3925,0.2521
01197.jpg,frost,17.2563,0.3162
01197.jpg,gamma,21.0644,0.4804
01198.jpg,lee,15.1815,0.1448
01198.jpg,frost,17.1218,0.2015
01198.jpg,gamma,22.0393,0.3877
01199.jpg,lee,15.8995,0.1668
01199.jpg,frost,17.7374,0.2247
01199.jpg,gamma,22.4783,0.4201
01200.jpg,lee,13.7288,0.1883
01200.jpg,frost,15.3776,0.2452
01200.jpg,gamma,17.9731,0.3097
01201.jpg,lee,16.1868,0.3523
01201.jpg,frost,17.5960,0.3733
01201.jpg,gamma,19.4739,0.5367
01202.jpg,lee,15.9471,0.1516
01202.jpg,frost,17.9186,0.2081
01202.jpg,gamma,23.6796,0.4483
01203.jpg,lee,17.5716,0.2584
01203.jpg,frost,19.5407,0.2955
01203.jpg,gamma,24.2168,0.4915
01204.jpg,lee,16.9478,0.2304
01204.jpg,frost,18.8273,0.2829
01204.jpg,gamma,23.6241,0.5275
01205.jpg,lee,16.6734,0.2210
01205.jpg,frost,18.6472,0.2795
01205.jpg,gamma,23.5819,0.4936
01206.jpg,lee,15.3715,0.2049
01206.jpg,frost,17.1452,0.2582
01206.jpg,gamma,20.5994,0.3866
01207.jpg,lee,15.6454,0.1927
01207.jpg,frost,17.5193,0.2502
01207.jpg,gamma,21.5489,0.4481
01208.jpg,lee,13.0543,0.0945
01208.jpg,frost,14.9535,0.1432
01208.jpg,gamma,17.9577,0.2763
01209.jpg,lee,17.0246,0.3312
01209.jpg,frost,18.7762,0.3635
01209.jpg,gamma,22.6166,0.4980
01210.jpg,lee,14.8121,0.1893
01210.jpg,frost,16.6704,0.2504
01210.jpg,gamma,20.4628,0.3970
01211.jpg,lee,14.5609,0.2020
01211.jpg,frost,16.3697,0.2700
01211.jpg,gamma,19.8282,0.4091
01212.jpg,lee,11.9796,0.0323
01212.jpg,frost,13.7697,0.0656
01212.jpg,gamma,15.9696,0.2280
01213.jpg,lee,15.4233,0.2521
01213.jpg,frost,17.2442,0.3113
01213.jpg,gamma,21.1854,0.4708
01214.jpg,lee,14.2922,0.0966
01214.jpg,frost,16.4736,0.1493
01214.jpg,gamma,21.4280,0.3093
01215.jpg,lee,12.7821,0.1457
01215.jpg,frost,14.4294,0.2032
01215.jpg,gamma,16.6118,0.2865
01216.jpg,lee,18.7636,0.4449
01216.jpg,frost,20.6655,0.4804
01216.jpg,gamma,23.9496,0.6016
01217.jpg,lee,16.4021,0.1167
01217.jpg,frost,18.3475,0.1656
01217.jpg,gamma,24.0145,0.4124
01218.jpg,lee,16.0896,0.1530
01218.jpg,frost,17.9155,0.2072
01218.jpg,gamma,22.7559,0.4244
01219.jpg,lee,14.0444,0.1297
01219.jpg,frost,16.1644,0.1880
01219.jpg,gamma,20.4877,0.3251
01220.jpg,lee,16.2431,0.2111
01220.jpg,frost,18.0506,0.2640
01220.jpg,gamma,22.1615,0.4219
01221.jpg,lee,16.5366,0.2657
01221.jpg,frost,18.3247,0.3215
01221.jpg,gamma,22.4208,0.4380
01222.jpg,lee,14.7384,0.1811
01222.jpg,frost,16.6573,0.2416
01222.jpg,gamma,20.7703,0.4040
01223.jpg,lee,15.5675,0.3630
01223.jpg,frost,17.1291,0.4205
01223.jpg,gamma,19.4724,0.4862
01224.jpg,lee,13.0613,0.0603
01224.jpg,frost,15.0999,0.1026
01224.jpg,gamma,18.5181,0.2452
